,chrome_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate,Emotion
0,0.63309145,7416.297747292411,5551.29182746096,13285.735887096775,0.0021197072,0.05047568044354839,01
0,0.629568,7135.571471210389,5653.771579321926,13191.64337060703,0.0022580326,0.05290441543530351,01
0,0.6199844,7239.265647784303,5641.048019222595,13279.1378257329,0.0027071815,0.04662688314332247,01
0,0.6126071,7008.958168895727,5802.315322727776,13272.074244966443,0.0025207684,0.05383546560402685,01
0,0.6082433,6997.311810394379,5518.6373589350005,12649.543486445784,0.0015786955,0.04592932275978916,02
0,0.6440443,6874.5604075049105,5416.334828908261,12202.82451923077,0.0016762057,0.03303843842455621,02
0,0.62399995,6853.974884660309,5369.609399912581,12272.273936170213,0.0025555012,0.045950382313829786,02
0,0.6121298,6798.674099501004,5458.893138965849,12309.504409509202,0.0026076469,0.04764336896088957,02
0,0.6483218,6773.71236826208,5405.020943243201,12030.037715517241,0.0014528487,0.03624225484913793,02
0,0.6053126,6517.9765641560125,5341.508569570418,11717.44099069149,0.0015512242,0.04488291638962766,02
0,0.5639656,6340.198381975384,5240.971559896007,11378.57990506329,0.002051211,0.05152541534810127,02
0,0.58841205,6481.998135540556,5216.2597396315505,11526.387965425532,0.0020813276,0.051087724401595744,02
0,0.597833,6697.877341293152,5448.887955381949,12494.560007668711,0.004056211,0.05570150738113497,03
0,0.5978683,6308.368222278773,5282.939358113155,11824.074961656443,0.004627866,0.039031046299846626,03
0,0.57352054,6667.926847115689,5391.62165656355,12287.603539156626,0.0036503486,0.048661932887801206,03
0,0.5714745,6596.172435135361,5414.1138128787825,12294.450431034482,0.0036507975,0.05662799703663793,03
0,0.52817655,6411.788635709709,5347.552529639794,12149.116847826086,0.006117453,0.06302224864130435,03
0,0.5120772,5270.077517670255,5079.628552138264,10658.701429618768,0.0077350195,0.05315822030791789,03
0,0.50444514,5571.829219537506,5004.783425216229,10670.523648648648,0.010461957,0.0670383762668919,03
0,0.53800076,6222.558537190048,5087.4127976485015,11516.680743243243,0.009871895,0.059488492398648646,03
0,0.5736106,6355.887483887831,5234.6053224208445,11777.799479166666,0.0020295018,0.03940700954861111,04
0,0.5823301,6610.435403340218,5502.210856879693,12477.565298507463,0.0019012076,0.04294980177238806,04
0,0.59946394,6739.503743532134,5073.448861282462,11920.925151975684,0.0016949223,0.029216731572948327,04
0,0.60079277,7106.008405831221,5436.40131950572,12793.611550632912,0.002220619,0.0407498516613924,04
0,0.59246904,6343.88684626711,5318.847928284225,11843.159138655463,0.0027989103,0.04405746673669468,04
0,0.56183255,6780.322651920024,5175.501107052273,12355.334051724138,0.004511432,0.042810198904454026,04
0,0.5767765,6725.494840442406,5255.617468473174,12357.371794871795,0.0048372704,0.042160512375356125,04
0,0.58456296,6896.7169314197545,5296.212553641978,12508.21314102564,0.0058990936,0.04164997329059829,04
0,0.521444,6134.619098092945,4971.857653159213,11312.629132231405,0.008106401,0.06889339058195593,05
0,0.5278211,6352.360297707174,5151.2497569188245,11747.508445945947,0.009117907,0.0704075168918919,05
0,0.57046664,6690.339473717602,5506.537274526083,12698.067059270517,0.0066069933,0.0606938046162614,05
0,0.5254563,5977.956259080254,5179.4622571201835,11529.313568376068,0.010389194,0.07504368100071225,05
0,0.5021427,5623.710063739151,4968.448863169407,10777.11038961039,0.051100224,0.08750253652597402,05
0,0.4134829,5012.160489468839,4705.120684593486,10093.788109756097,0.031457525,0.11394340701219512,05
0,0.48772565,5104.580591550834,4620.623557834289,9799.230831185567,0.03165411,0.12269450708762887,05
0,0.42685428,5177.487547093419,4713.495349947891,10112.522482014389,0.08850297,0.12785943120503598,05
0,0.5623183,5823.18849474174,5566.043512777244,11950.611413043478,0.0056743654,0.05884284420289855,06
0,0.5075655,5983.587591606043,5513.35266343445,12174.5784457478,0.005428494,0.060051434200879765,06
0,0.6020438,5638.860306415557,5475.924317633911,11384.021865325078,0.0047868155,0.05215387964396285,06
0,0.5725839,6081.3441068767115,5303.6848785649045,11645.474137931034,0.00442941,0.05543114673132184,06
0,0.46809697,4306.291419141151,4566.254230147459,8858.92619680851,0.015618024,0.09176259142287234,06
0,0.4106341,4209.249974619826,4636.813440970441,9005.18216080402,0.021316655,0.08150984414258794,06
0,0.4345024,4617.094881247366,4647.557044938869,9458.947721179624,0.035744805,0.10488228887399464,06
0,0.43007696,4062.7422340149046,4476.653827913606,8060.642930327869,0.024112962,0.08120277279713115,06
0,0.50759923,5563.61730616758,5040.0873086984775,10598.398760330578,0.0024997578,0.07578716856060606,07
0,0.54847294,6703.208103358369,5678.286319227012,12988.60143442623,0.0028929436,0.07663347421448087,07
0,0.560988,6179.649958753587,5352.812606649483,11451.71618852459,0.0027418216,0.05326267930327869,07
0,0.58580506,7014.318967773367,5420.7259453885135,12425.455729166666,0.0028235773,0.05229763454861111,07
0,0.4613124,5201.5815401084055,5062.415907065084,10362.73978960396,0.010924625,0.08526792620668316,07
0,0.49338776,5801.920882249922,5021.198381234247,11113.33198051948,0.011843513,0.0851270799512987,07
0,0.49691272,5887.7734173957,5307.673504082823,11678.739281002638,0.011015684,0.0703125,07
0,0.5299166,6329.37461668807,5387.881168512213,12059.794207317073,0.0111991055,0.07352443788109755,07
0,0.61475,7174.304330053967,5480.721781394642,13011.767578125,0.0029146448,0.0349639892578125,08
0,0.6176241,7306.301516525616,5432.39005998524,13142.253664495114,0.0029287005,0.03130884822882736,08
0,0.590446,6719.61643799594,5326.707561285866,12311.394013554216,0.003248996,0.04423063347138554,08
0,0.61674625,7482.657170851868,5468.391066689581,13326.0128257329,0.0037579793,0.03483497048045603,08
0,0.59995496,6704.236421812274,5292.24412785629,12433.26722136223,0.0067231325,0.035543246904024765,08
0,0.5564058,6507.876673864132,5174.62147229354,12243.050373134329,0.008828125,0.048409806436567164,08
0,0.5825236,6816.283409470817,5142.048350167561,12333.32541793313,0.006753442,0.0421153709156535,08
0,0.6034105,6861.162498856074,5545.527921470261,12895.205618892509,0.009040162,0.03912293872149837,08
0,0.42539787,4876.75482339012,4398.78064912255,9352.456011730204,0.0033448308,0.05509845811950147,01
0,0.5096414,5702.318716635564,4766.953324470908,10477.67196745562,0.0033259117,0.05993580112795858,01
0,0.523184,6271.87998913555,5041.196812922357,11341.432733050848,0.0051298533,0.06424622616525423,01
0,0.48780748,5933.923042299889,4786.986759537925,10761.071560650887,0.004685411,0.07046562962278106,01
0,0.49821612,6164.709510487361,5158.971982267992,11397.0703125,0.0031098386,0.06289876302083333,02
0,0.4294971,5031.632345343529,4443.647492326364,9309.050864361701,0.0031890122,0.04958781790226064,02
0,0.38670003,4359.2036012565095,3836.93746313907,8027.018229166667,0.0036047194,0.06270616319444444,02
0,0.4433034,5450.585452988313,4514.066347595437,9773.877345844505,0.0035390272,0.0661077831769437,02
0,0.502578,5885.488981854689,4958.419477469978,10758.114529639175,0.0025965993,0.06393086541559279,02
0,0.3857539,4421.897201382219,4061.187584220559,8237.631926121372,0.0028473192,0.05344940427110818,02
0,0.42095482,5319.052579207854,4446.44638085751,9650.83198051948,0.0032475952,0.07019328327922078,02
0,0.38113782,4471.6413206275,4065.0688283143672,8336.688311688311,0.0031908066,0.06366933847402598,02
0,0.5171767,5894.315620268328,5201.342761146451,11441.383136094675,0.006350114,0.07537733450443787,03
0,0.49995545,6009.039020825258,4867.37002066328,11104.929956896553,0.0057052895,0.06801701688218391,03
0,0.40303016,4973.468158177861,4080.3539839002533,9133.27595338983,0.006452927,0.06660487288135593,03
0,0.5140288,6092.449037681607,5164.197805836055,11600.694444444445,0.0062157763,0.07776191907051282,03
0,0.39589694,4732.901788522505,4123.063705534724,8969.558189655172,0.015484766,0.06576503008261494,03
0,0.4495481,5569.163617285969,4650.098049551035,10411.616847826086,0.015966004,0.0732818161231884,03
0,0.44219086,5522.283492386273,5022.7235456787,10813.510237068966,0.011077776,0.08497637167744253,03
0,0.38182208,4610.088683896162,3920.4766252425534,8416.645144628099,0.012453201,0.07307942708333333,03
0,0.35122406,3969.1376203170685,3948.724715571952,7756.184895833333,0.002700167,0.05121663411458333,04
0,0.37418768,4159.540945934546,3863.005071931499,7908.103813559322,0.0029773524,0.04736603990112994,04
0,0.38211507,4642.75395724044,4021.204237687707,8412.994123931623,0.003167647,0.05313640714031339,04
0,0.41500384,5109.181290729467,4367.732765191678,9365.135063559323,0.0028899182,0.05222402454096045,04
0,0.3935614,4742.705761902839,4294.244262591806,9190.638354700855,0.002532207,0.057155337428774926,04
0,0.4163469,4967.766844541249,4330.534250318303,9245.233050847457,0.0023034983,0.055935789636299436,04
0,0.41240376,5007.77614432623,4243.687616090563,9246.09375,0.0035185427,0.05034909303160919,04
0,0.3953339,4750.722264356866,4004.8780610516774,8713.111413043478,0.0030359845,0.06644304800724637,04
0,0.42236486,4555.8763521307455,4131.910810974268,8682.33695652174,0.0064853197,0.06092900815217391,05
0,0.5131837,5803.848624836202,5020.315552930443,11044.633152173914,0.00694725,0.06914911684782608,05
0,0.47631177,5718.247598119217,4643.72480583066,10443.657309322034,0.008028582,0.07832362288135593,05
0,0.42217347,5116.46735469408,4337.825628213942,9515.690651260504,0.007710358,0.0792834712009804,05
0,0.40584812,4505.596136582808,4056.132096782437,8632.684426229509,0.022550447,0.07858259690915301,05
0,0.42661405,4914.874589970978,4141.449150542417,9005.859375,0.017822703,0.07515505526928191,05
0,0.47802356,6159.485937159706,4930.514311845363,11248.129986702128,0.04367468,0.08652058053523937,05
0,0.40506616,5311.590211801473,4345.51094140974,9721.762799202128,0.038478065,0.08323507106050532,05
0,0.3899061,4749.873704557356,4362.5267209515,9120.005498533725,0.0071368203,0.08137973103005865,06
0,0.37023216,4611.909976089079,4378.227918859818,9152.911324786324,0.0073839864,0.0753052105591168,06
0,0.43513066,5467.607660290897,4604.811855679486,10221.467391304348,0.008342018,0.08961022418478261,06
0,0.41525045,5792.550744274666,4910.388661077613,10896.367521367521,0.008738918,0.09428418803418803,06
0,0.40366885,5400.648049353097,4622.200224938166,10286.69905462185,0.012439752,0.09159718574929972,06
0,0.40407678,5490.983909880802,4610.567977694507,10406.593658357771,0.016157914,0.09420105159457479,06
0,0.37954697,5367.878591353807,4615.154511343418,10287.814349112426,0.017978571,0.09964260123890532,06
0,0.42890584,5925.506034380518,4931.484788543532,11165.749815088757,0.015284434,0.10820485854289941,06
0,0.35794312,3816.7004135601364,3574.6166490423643,7287.771739130435,0.0030920934,0.0573143115942029,07
0,0.39194578,3880.661647880028,3724.3797991703104,7629.971590909091,0.002855195,0.05931113682184751,07
0,0.38933295,4106.76527108154,3571.504860443776,7487.797004132231,0.0047872197,0.06316718319559228,07
0,0.42003876,4663.561276645172,3906.051487731666,8533.333333333334,0.0045500444,0.05720757378472222,07
0,0.39181396,4039.017104802026,3583.8719542814274,7552.915592783505,0.0054512857,0.06295681982925258,07
0,0.5070184,5711.7822120760475,4570.489908985077,10298.123389175258,0.0057050544,0.06745202762564433,07
0,0.4273413,4856.123489835401,3998.467096260666,8805.269281914894,0.007757125,0.06756981382978723,07
0,0.48264948,5281.875671855611,4421.692542309711,9709.927440633246,0.0072865323,0.08715111724934037,07
0,0.42272198,4882.274243055042,4355.148363151237,9593.561746987953,0.006677238,0.07735580995858433,08
0,0.4600963,5617.859529650162,4531.732734832316,10429.193335843374,0.0052036103,0.07025072948042169,08
0,0.45003754,5445.172005040141,4388.403150170055,10013.013128698225,0.0065261973,0.08211792714497042,08
0,0.47392023,5876.292542332565,4688.412027659564,10741.646272590362,0.006926768,0.08484769154743976,08
0,0.44514534,5240.630926998215,4474.344589801322,9897.10202991453,0.008457239,0.08490251068376069,08
0,0.5135463,6524.218903002349,5200.903523445999,12082.49470338983,0.008416958,0.0901168564618644,08
0,0.50283706,6421.493663833639,4977.064174850915,11707.398504273504,0.011803545,0.08761518429487179,08
0,0.44197926,5501.575888640583,4318.466371584849,9982.536764705883,0.012274262,0.09379787071078431,08
0,0.4817626,4968.033484446734,4458.2112237938245,9552.051083591332,0.003757135,0.057810685952012386,01
0,0.57221234,5431.16404319593,5367.842532788016,10986.773366261397,0.0035244385,0.07724193816489362,01
0,0.5137657,5650.33649499411,4688.856849816111,10482.119110942249,0.004081339,0.07243481667933131,01
0,0.53477967,6188.936867373162,5212.125160855763,11658.358895705522,0.004365069,0.1021691070743865,01
0,0.49331632,4659.880470552288,4433.291915376597,9124.283854166666,0.0026532232,0.05615505642361111,02
0,0.43342122,4101.121191130869,3966.193840184829,7926.148504273504,0.0028161404,0.05482382923789174,02
0,0.49982205,5295.559770704381,4930.624977146042,10257.6171875,0.002883733,0.07087944878472222,02
0,0.531317,5202.800286913627,4914.181287160542,10079.695878016086,0.007891615,0.05542973986260054,02
0,0.49218765,3709.5598777365344,4411.056569280675,7573.65187994723,0.004336462,0.0630746000989446,02
0,0.46245688,4539.052514599285,4842.6291078670765,9327.433813672922,0.0075799683,0.0744347457272118,02
0,0.5286143,4592.894530247325,4750.186408333063,9186.050257731958,0.009092376,0.06324123107280928,02
0,0.5129514,4365.088488319011,4683.525997503124,8855.759640957447,0.008642663,0.06558032746010638,02
0,0.47265506,4860.027046357948,4884.376124802819,9907.110699152543,0.007494982,0.07810155146539548,03
0,0.47077942,4872.118602326337,4903.431978907187,9889.723557692309,0.010318054,0.08116736778846154,03
0,0.40563756,4400.990507910766,4083.8067371810344,8403.447948328267,0.009525374,0.06957191536854103,03
0,0.35117468,3432.081718673375,3407.43311630357,6582.161854103343,0.0064340183,0.05922302431610942,03
0,0.4540708,4655.68640734861,4668.15741827483,9314.955909653465,0.021878878,0.08478689665841584,03
0,0.41613302,4155.073076149673,4275.676233422126,8327.74667070218,0.033673763,0.08156070293583535,03
0,0.43765706,4579.884699155326,4698.5425623439505,9384.906572164948,0.041374803,0.0853296653511598,03
0,0.43791962,4128.801734754918,4363.0840582595365,8269.856770833334,0.023225827,0.07425944010416667,03
