iter	Logloss
0	0.6622867069
1	0.6357399413
2	0.615498929
3	0.5952551083
4	0.5821929612
5	0.5720148902
6	0.5629234368
7	0.5550740125
8	0.5483805496
9	0.5418122202
10	0.5359198964
11	0.5314345172
12	0.5264618439
13	0.5214432489
14	0.5162020887
15	0.5121546757
16	0.5093905306
17	0.5069443839
18	0.5037181737
19	0.4997210094
20	0.4952613005
21	0.4920438294
22	0.4889422291
23	0.487380517
24	0.4846818176
25	0.4828983886
26	0.4789100211
27	0.4772016228
28	0.4752216238
29	0.4731512624
30	0.4694501952
31	0.4677655898
32	0.4659445383
33	0.4634761407
34	0.4609692149
35	0.4597216498
36	0.4574921717
37	0.4552409582
38	0.4515383467
39	0.4502520091
40	0.4474491138
41	0.4452578125
42	0.4437735
43	0.440280316
44	0.4389378387
45	0.4356856419
46	0.4351357554
47	0.4333436108
48	0.4310902225
49	0.4299427804
50	0.4282510239
51	0.4269062177
52	0.4249836825
53	0.4223581473
54	0.421026938
55	0.4192718559
56	0.4170912384
57	0.4161527404
58	0.4140260297
59	0.4121096024
60	0.4096842985
61	0.4078302256
62	0.4066085331
63	0.405101752
64	0.4023966549
65	0.4016418728
66	0.4000573226
67	0.3979033943
68	0.396158414
69	0.394005858
70	0.3921012715
71	0.3903303989
72	0.3892732601
73	0.3876869281
74	0.3850093045
75	0.3828779807
76	0.3807687111
77	0.3794514224
78	0.377159772
79	0.3743530681
80	0.3730542094
81	0.3715434981
82	0.3692523614
83	0.3681995084
84	0.3658682289
85	0.3650848252
86	0.3642056096
87	0.3617019281
88	0.3601442546
89	0.3575671533
90	0.356222061
91	0.3553177087
92	0.3540325433
93	0.353100378
94	0.3507135866
95	0.3487776507
96	0.3464581133
97	0.3440539296
98	0.3423634904
99	0.3396384376
