iter	Passed	Remaining
0	4	455
1	8	405
2	11	371
3	15	361
4	19	363
5	22	350
6	25	344
7	28	330
8	30	308
9	33	304
10	37	306
11	42	314
12	46	311
13	50	308
14	53	302
15	57	301
16	60	295
17	64	295
18	68	291
19	72	288
20	75	284
21	78	279
22	82	276
23	85	271
24	90	270
25	93	266
26	98	267
27	102	264
28	107	263
29	110	258
30	115	257
31	119	254
32	123	250
33	129	251
34	132	246
35	137	245
36	142	242
37	145	238
38	149	234
39	154	231
40	158	228
41	162	224
42	166	221
43	171	218
44	175	214
45	178	209
46	182	205
47	187	202
48	192	200
49	196	196
50	200	192
51	204	188
52	208	184
53	212	181
54	216	177
55	220	173
56	226	170
57	230	166
58	236	164
59	240	160
60	245	156
61	250	153
62	254	149
63	259	145
64	263	141
65	267	137
66	272	134
67	278	130
68	283	127
69	288	123
70	294	120
71	297	115
72	303	112
73	307	107
74	311	103
75	316	99
76	319	95
77	324	91
78	327	87
79	332	83
80	341	80
81	345	75
82	349	71
83	352	67
84	356	62
85	359	58
86	362	54
87	366	50
88	370	45
89	374	41
90	377	37
91	380	33
92	384	28
93	389	24
94	393	20
95	397	16
96	401	12
97	406	8
98	409	4
99	413	0
